Time,HR (bpm),Speed (mi/h),Pace (min/mi),Distances (ft)
2020-06-14 15:25:36,98,0.0,0.0,0.0
2020-06-14 15:25:37,99,0.0,0.0,0.0
2020-06-14 15:25:38,98,2.7,22.1,0.0
2020-06-14 15:25:39,95,2.7,22.2,8.5
2020-06-14 15:25:40,93,2.7,22.0,17.0
2020-06-14 15:25:41,92,2.7,21.8,25.5
2020-06-14 15:25:42,91,2.8,21.8,34.0
2020-06-14 15:25:43,92,2.7,22.6,42.5
2020-06-14 15:25:44,93,2.7,21.9,51.0
2020-06-14 15:25:45,95,2.8,21.1,59.5
2020-06-14 15:25:46,96,2.9,20.9,68.0
2020-06-14 15:25:47,101,2.9,21.0,76.5
2020-06-14 15:25:48,103,2.9,21.0,85.0
2020-06-14 15:25:49,104,2.7,22.6,93.5
2020-06-14 15:25:50,105,2.5,23.9,102.0
2020-06-14 15:25:51,106,2.5,23.9,110.5
2020-06-14 15:25:52,106,2.5,23.9,119.0
2020-06-14 15:25:53,106,2.5,23.9,127.5
2020-06-14 15:25:54,107,2.5,24.0,136.0
2020-06-14 15:25:55,106,2.5,23.8,144.51
2020-06-14 15:25:56,106,2.5,23.6,153.01
2020-06-14 15:25:57,106,2.6,22.8,161.51
2020-06-14 15:25:58,105,2.7,22.3,167.08
2020-06-14 15:25:59,104,2.8,21.6,175.58
2020-06-14 15:26:00,103,2.8,21.2,177.63
2020-06-14 15:26:01,103,2.8,21.6,184.66
2020-06-14 15:26:02,103,2.8,21.6,184.66
2020-06-14 15:26:03,103,2.7,22.1,193.07
2020-06-14 15:26:04,103,2.7,22.6,197.26
2020-06-14 15:26:05,103,2.7,22.4,202.12
2020-06-14 15:26:06,103,2.7,22.2,207.69
2020-06-14 15:26:07,102,2.7,22.2,207.69
2020-06-14 15:26:08,102,2.5,23.8,212.78
2020-06-14 15:26:09,102,2.3,26.0,216.99
2020-06-14 15:26:10,103,2.3,26.7,223.04
2020-06-14 15:26:11,103,2.3,26.7,223.04
2020-06-14 15:26:12,103,2.3,26.7,223.04
2020-06-14 15:26:13,105,2.4,25.0,226.85
2020-06-14 15:26:14,106,2.5,23.8,231.25
2020-06-14 15:26:15,107,2.5,23.8,231.25
2020-06-14 15:26:16,106,2.4,24.6,238.67
2020-06-14 15:26:17,106,2.2,27.1,241.96
2020-06-14 15:26:18,106,2.1,29.0,241.96
2020-06-14 15:26:19,105,2.1,28.7,250.47
2020-06-14 15:26:20,104,2.1,28.7,254.22
2020-06-14 15:26:21,104,2.1,28.5,260.79
2020-06-14 15:26:22,105,2.1,28.3,265.62
2020-06-14 15:26:23,106,2.0,29.4,269.0
2020-06-14 15:26:24,107,2.0,29.9,276.21
2020-06-14 15:26:25,107,2.1,28.6,282.78
2020-06-14 15:26:26,107,2.1,29.1,286.71
2020-06-14 15:26:27,107,2.2,26.8,294.65
2020-06-14 15:26:28,107,2.2,26.8,294.65
2020-06-14 15:26:29,107,2.8,21.8,302.46
2020-06-14 15:26:30,107,2.7,22.0,305.88
2020-06-14 15:26:31,108,2.8,21.1,311.81
2020-06-14 15:26:32,109,2.8,21.1,317.12
2020-06-14 15:26:33,109,2.8,21.1,317.12
2020-06-14 15:26:34,109,3.0,20.3,325.62
2020-06-14 15:26:35,110,3.1,19.3,334.06
2020-06-14 15:26:36,110,3.6,16.7,342.56
2020-06-14 15:26:37,110,3.5,16.9,351.07
2020-06-14 15:26:38,110,3.5,16.9,352.01
2020-06-14 15:26:39,110,2.8,21.6,356.37
2020-06-14 15:26:40,110,2.3,26.2,362.02
2020-06-14 15:26:41,117,2.3,26.2,362.02
2020-06-14 15:26:42,121,2.0,30.2,369.75
